Block_8_IP_1_RDO_1
COEFF BITS
QP = 0,QP = 3,QP = 6,QP = 9,
423684,121766,17584,1830,
419097,121437,17194,1857,
418280,121037,17481,1845,
421150,120974,17525,1851,
421211,123026,17092,1893,
423746,122121,17398,1869,
425293,122870,17449,1881,
425221,123313,17748,1881,
426223,124344,17432,1845,
430333,124219,17856,1887,

MDIFF BITS
QP = 0,QP = 3,QP = 6,QP = 9,
2948,3020,2778,2080,
2898,2958,2752,2018,
2946,2946,2724,2010,
2924,2992,2780,2006,
2966,2922,2788,2014,
2938,2962,2816,2002,
2904,2992,2786,1990,
2862,2902,2760,1962,
2950,2962,2762,1998,
2876,2918,2740,1998,

PSNR
QP = 0,QP = 3,QP = 6,QP = 9,
37.880039,31.187199,26.361538,18.360361,
37.397552,31.120590,26.704706,17.931276,
37.164703,31.198170,26.800264,18.132212,
37.627674,31.254799,26.723995,18.250391,
38.451855,30.716206,26.849035,18.749441,
38.437607,31.303555,26.687038,18.687515,
37.879822,31.290668,26.639723,18.513586,
37.872917,31.058554,26.700073,18.264366,
38.733326,31.629612,26.810925,18.297741,
37.624187,31.151451,26.222393,18.415443,

RUN_TIME
QP = 0,QP = 3,QP = 6,QP = 9,
27.27,24.40,25.36,23.61,
