TestCIF_IP_1
0,1,2,3,4,5,6,7,8,9,10,11,
24758,18016,12698,8207,5182,3406,2323,1859,2018,1582,543,314,
24405,17698,12394,8126,4993,3259,2178,1944,1840,1586,542,314,
24404,17682,12493,7888,5002,3165,2360,2062,1800,1440,522,314,
24547,17900,12588,8128,5032,3257,2239,1950,1737,1490,523,314,
24495,17863,12517,7999,4916,3400,2271,2120,1828,1519,503,314,
24618,17976,12625,8180,4984,3270,2436,2025,1863,1579,502,314,
24877,18016,12749,8235,4946,3365,2265,2089,1882,1508,501,314,
18576,12956,8575,6094,4285,3295,2268,1786,1609,1110,725,314,
18666,13002,8506,5916,4428,3306,2361,1792,1579,1090,725,314,
18728,13024,8502,5929,4307,3210,2333,1872,1476,1089,725,314,
18750,13084,8570,6006,4400,3329,2434,1718,1415,1090,725,314,
18798,13037,8525,5929,4295,3216,2467,1749,1434,1110,725,314,
18639,12941,8531,5977,4290,3242,2355,1733,1507,1090,725,314,
18530,12919,8429,6032,4260,3172,2447,1724,1507,1110,725,314,
24981,18248,12764,8178,5145,3128,2377,1975,1891,1435,501,314,
24933,18195,12899,8427,5101,3232,2170,1929,1747,1372,500,314,
25101,18436,12982,8304,5027,3076,2507,1910,1789,1571,480,314,
25218,18454,13041,8458,4978,3210,2334,1962,1836,1658,502,314,
25281,18530,13146,8497,5101,3283,2396,1925,1691,1725,532,314,
25171,18466,13129,8365,5129,3344,2388,1733,1723,1636,582,314,
25325,18529,13119,8479,5070,3407,2592,1934,1984,1821,602,314,
