TestQCIF_IP_1
0,1,2,3,4,5,6,7,8,9,10,11,
13683,10443,7829,5431,3577,2298,1607,1153,1041,774,294,248,
13789,10580,7832,5444,3595,2280,1474,1102,965,694,294,248,
13797,10512,7881,5484,3664,2305,1367,1159,1066,730,294,248,
13800,10623,7980,5447,3626,2377,1410,1133,1085,813,294,248,
13879,10523,7891,5571,3618,2265,1359,1114,1033,897,294,248,
13795,10511,7888,5587,3632,2357,1373,851,1096,897,294,248,
13910,10675,7914,5480,3511,2297,1371,893,1022,893,293,248,
11349,8370,6041,4317,2875,2002,1387,956,1012,837,656,248,
11349,8317,6074,4202,2990,1917,1383,1095,1012,837,656,248,
11280,8275,6019,4310,2840,2005,1412,1102,1011,837,656,248,
11304,8305,6006,4274,2919,2033,1324,1100,1011,754,656,248,
11386,8385,6041,4292,2865,2001,1289,1076,1011,837,656,248,
11299,8366,6088,4250,2900,2034,1261,1196,970,837,617,248,
11299,8343,6011,4318,2929,1941,1298,1158,970,836,617,248,
13972,10596,7863,5514,3554,2295,1473,1040,1029,793,293,248,
13788,10565,7832,5469,3555,2195,1410,1168,1011,770,293,248,
14017,10697,7862,5497,3737,2369,1595,1049,1001,936,293,248,
14033,10737,7859,5538,3610,2253,1473,1153,986,856,293,248,
14168,10835,8033,5637,3710,2369,1437,1010,1000,816,293,248,
14021,10721,8030,5654,3683,2229,1471,1267,952,732,294,248,
13993,10750,7976,5584,3713,2470,1610,956,958,699,294,248,
