IP_8_Block_16,,,,,,,,
COEFF BITS,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,Coeff Sum,,,
313004,75688,7584,450,,2542065,392806,22439,4044
249715,35400,1103,396,,Mdiff Sum,,,
245702,33031,924,396,,18898,22272,30546,17688
228050,27997,834,396,,Bit Sum,,,
245869,30954,864,396,,2560963,415078,52985,21732
247900,32964,791,396,,Avg PSNR,,,
198424,22399,672,396,,32.9227256,29.8717171,25.5919462,17.5463291
254171,27687,576,396,,,,,
317180,74957,7706,426,,,,,
242050,31729,1385,396,,,,,
,,,,,,,,
MDIFF BITS,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
730,752,766,504,,,,,
2256,2826,3904,2342,,,,,
2282,2758,3652,2342,,,,,
2164,2464,3702,2146,,,,,
2252,2644,3614,2016,,,,,
2188,2574,3398,1936,,,,,
2074,2308,3468,1900,,,,,
2176,2572,3314,1886,,,,,
762,750,792,480,,,,,
2014,2624,3936,2136,,,,,
,,,,,,,,
PSNR,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
33.708862,29.964457,24.756714,16.780685,,,,,
33.059002,30.027277,25.483414,17.336342,,,,,
33.03862,29.801371,25.724304,17.754797,,,,,
32.941551,29.442392,25.810459,17.894096,,,,,
32.67186,29.974899,25.839735,17.971251,,,,,
32.728481,29.837914,25.989555,17.990805,,,,,
32.913597,29.842674,26.086306,17.970539,,,,,
32.79797,29.812258,26.125406,17.971739,,,,,
32.572933,30.055256,24.667276,16.652952,,,,,
32.79438,29.958673,25.436293,17.140085,,,,,
,,,,,,,,
RUN_TIME,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
107.73,95.77,102.66,108.75,,,,,
