IP_4_Block_16,,,,,,,,
COEFF BITS,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,Coeff Sum,,,
313004,75688,7584,450,,2606962,443038,38932,4128
251222,36648,2545,396,,Mdiff Sum,,,
247312,34404,2687,396,,15740,18450,10998,11936
230013,29238,2124,414,,Bit Sum,,,
310838,73734,7574,456,,2622702,461488,49930,16064
240322,32675,2568,396,,Bitrate,,,
199455,23040,1779,396,,,,,
254796,30513,2139,402,,Avg PSNR,,,
317180,74957,7706,426,,33.0261699,29.9762126,24.8147112,16.7766113
242820,32141,2226,396,,,,,
,,,,,,,,
MDIFF BITS,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
730,752,766,504,,,,,
1968,2448,1244,1476,,,,,
2050,2402,1240,1508,,,,,
1970,2220,1234,1508,,,,,
756,772,754,512,,,,,
1872,2348,1246,1476,,,,,
1796,2130,1230,1506,,,,,
1974,2378,1240,1504,,,,,
762,750,792,480,,,,,
1862,2250,1252,1462,,,,,
,,,,,,,,
PSNR,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
33.708862,29.964457,24.756714,16.780685,,,,,
33.058338,30.014275,24.992212,16.75667,,,,,
33.038017,29.728592,25.084234,16.714199,,,,,
32.939011,29.379181,25.038883,16.712069,,,,,
33.338516,30.440104,24.515469,16.767727,,,,,
33.062843,30.177292,24.731276,16.870447,,,,,
32.974358,30.225372,24.746145,16.89497,,,,,
32.774475,29.882589,24.74445,16.922035,,,,,
32.572933,30.055256,24.667276,16.652952,,,,,
32.794346,29.895008,24.870453,16.694359,,,,,
,,,,,,,,
RUN_TIME,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
107.77,105.42,100.02,106.57,,,,,
