IP_4_Block_8,,,
COEFF BITS,,,
QP = 0,QP = 3,QP = 6,QP = 9
423684,121766,17584,1830
356980,72181,8997,1614
354217,71295,8673,1668
341384,64784,8323,1662
421211,123026,17092,1893
345204,69125,7904,1590
300421,50115,8067,1608
364634,68088,9173,1626
426223,124344,17432,1845
344455,65547,8512,1601
,,,
MDIFF BITS,,,
QP = 0,QP = 3,QP = 6,QP = 9
2948,3020,2778,2080
8498,10020,4862,5006
8746,9646,4846,4838
7866,8874,4840,4828
2966,2922,2788,2014
8158,9808,4860,5004
7406,8906,4856,4840
8706,9664,4850,4832
2950,2962,2762,1998
7754,9532,4862,4986
,,,
PSNR,,,
QP = 0,QP = 3,QP = 6,QP = 9
37.880039,31.187199,26.361538,18.360361
37.822735,31.535202,26.642776,18.319225
37.798752,31.604729,26.622721,18.184925
38.061966,31.513731,26.564497,18.165443
38.451855,30.716206,26.849035,18.749441
38.383976,31.301733,26.996326,19.011265
37.838028,31.367823,26.898104,18.994476
37.770996,31.705606,26.713945,18.924198
38.733326,31.629612,26.810925,18.297741
38.685993,31.530636,26.909128,18.313871
,,,
RUN_TIME,,,
QP = 0,QP = 3,QP = 6,QP = 9
30.96,33.13,29.26,33.14
,,,
Coeff Sum,,,
3678413,830271,111757,16937
Mdiff Sum,,,
65998,75354,42304,40426
Bit Sum,,,
3744411,905625,154061,57363
Avg PSNR,,,
38.1427666,31.4092477,26.7368995,18.5320946
